Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
2170000	8.53	8.53	1141	0.0956125	9e-05	0.8724452495574951
2180000	8.71	8.71	1145	0.09557500000000001	9e-05	0.8813001116116842
2190000	8.99	8.99	1149	0.09553750000000001	9e-05	0.8708960533142089
2200000	9.06	9.08	1152	0.0955	9e-05	0.873054830233256
2210000	9.27	9.31	1155	0.0954625	9e-05	0.8783159573872884
2220000	9.56	9.56	1159	0.09542500000000001	9e-05	0.8807110786437988
2230000	9.82	9.82	1164	0.0953875	9e-05	0.8727512160936991
2240000	10.08	10.08	1168	0.09535	9e-05	0.8842676242192586
2250000	10.26	10.26	1171	0.09531250000000001	9e-05	0.8777623573939005
2260000	10.6	10.6	1175	0.095275	9e-05	0.8784449458122253
2270000	10.98	10.98	1179	0.0952375	9e-05	0.8701891263326009
2280000	10.93	10.98	1182	0.0952	9e-05	0.8673572222391764
2290000	11.26	11.26	1186	0.09516250000000001	9e-05	0.8712511539459229
2300000	11.43	11.43	1189	0.095125	9e-05	0.8756346940994263
2310000	11.8	11.8	1193	0.0950875	9e-05	0.8837221542994181
2320000	12.03	12.03	1197	0.09505000000000001	9e-05	0.8807995041211446
2330000	12.26	12.26	1200	0.0950125	9e-05	0.873279869556427
2340000	12.58	12.58	1205	0.094975	9e-05	0.8810449600219726
2350000	12.75	12.75	1209	0.09493750000000001	9e-05	0.8785423835118612
2360000	13.21	13.21	1213	0.09490000000000001	9e-05	0.873046080271403
2370000	13.61	13.61	1217	0.0948625	9e-05	0.8686070481936137
2380000	13.85	13.85	1221	0.094825	9e-05	0.873203190167745
2390000	14.2	14.2	1226	0.09478750000000001	9e-05	0.8733290314674378
2400000	14.4	14.4	1230	0.09475	9e-05	0.8711800376574198
2410000	14.43	14.43	1234	0.0947125	9e-05	0.8728473901748657
2420000	14.6	14.6	1238	0.09467500000000001	9e-05	0.8746807932853699
2430000	14.57	14.6	1241	0.0946375	9e-05	0.871291716893514
2440000	14.56	14.6	1245	0.0946	9e-05	0.8778771956761678
2450000	14.55	14.61	1249	0.09456250000000001	9e-05	0.8755745172500611
2460000	14.74	14.74	1253	0.094525	9e-05	0.8758933663368225
2470000	14.7	14.74	1257	0.0944875	9e-05	0.8827815612157186
2480000	14.64	14.74	1260	0.09445	9e-05	0.9022131443023682
2490000	14.54	14.74	1264	0.09441250000000001	9e-05	0.9583920439084371
2500000	14.61	14.74	1267	0.094375	9e-05	0.9098505020141602
2510000	14.48	14.74	1271	0.0943375	9e-05	0.8998556733131409
2520000	14.35	14.74	1275	0.09430000000000001	9e-05	0.8939687132835388
2530000	14.3	14.74	1279	0.0942625	9e-05	0.9090651273727417
2540000	14.52	14.74	1283	0.094225	9e-05	0.9181969086329143
2550000	14.61	14.74	1287	0.09418750000000001	9e-05	0.9464960694313049
2560000	14.73	14.75	1291	0.09415000000000001	9e-05	0.9582800984382629
2570000	14.62	14.75	1295	0.0941125	9e-05	0.9656713207562765
2580000	14.7	14.75	1299	0.094075	9e-05	0.9708141883214315
2590000	14.73	14.79	1303	0.09403750000000001	9e-05	0.9716351707776387
2600000	14.74	14.79	1307	0.094	9e-05	0.9729070941607157
2610000	14.75	14.79	1312	0.0939625	9e-05	0.9725510676701864
2620000	14.65	14.79	1316	0.09392500000000001	9e-05	0.9759967406590779
2630000	14.64	14.79	1320	0.0938875	9e-05	0.9770630200703939
2640000	14.63	14.79	1324	0.09385	9e-05	0.9848905642827351
2650000	14.59	14.79	1328	0.09381250000000001	9e-05	0.9789073387781779
2660000	14.47	14.79	1332	0.09377500000000001	9e-05	0.9830087065696717
2670000	14.31	14.79	1335	0.0937375	9e-05	0.9830591638882955
2680000	14.26	14.79	1338	0.0937	9e-05	0.979253641764323
2690000	14.31	14.79	1342	0.09366250000000001	9e-05	0.9869204680124919
